year,kind,rating,vote,runtime,genre1,genre2,country1,country2,language1,language2,cast1,cast2,director1,director2,composer1,composer2,writer1,writer2
1998,1,8.1,61463.0,96.82821118991332,7,14,35,71,16,34,4562,4422,1319,611,701,762,113,1196
1997,1,8.3,868.0,110.0,4,27,62,71,16,110,1589,5771,3336,611,2512,762,1521,3786
1988,1,8.2,1943.0,90.0,6,4,62,71,16,110,1589,4665,443,508,2512,762,1521,3786
2002,3,7.1,165.0,97.0,6,27,61,19,16,110,19,2112,1976,611,1312,435,4453,1814
1992,2,7.0,521.0,91.0,7,19,62,71,16,110,270,307,3923,611,2512,762,2386,3205
2001,1,7.3,8963.0,143.0,7,19,35,18,32,103,2934,5117,1153,611,117,762,1559,1038
1999,3,5.9,1567.0,70.0,3,7,62,9,16,110,1756,1595,645,611,1134,762,342,1388
2000,1,6.7,6665.0,102.0,0,7,30,71,26,105,4115,2134,3946,611,2242,402,4798,3599
2004,7,8.4,29.0,33.0,14,27,62,71,16,110,4552,3249,431,611,2512,762,4765,3786
2003,0,8.0,114.0,102.0,7,27,62,71,16,110,2436,5585,590,611,2512,762,4462,1350
2003,1,8.7,81.0,60.0,6,4,63,71,62,110,3312,5771,3923,611,2512,762,4765,3786
2005,7,3.5,464.0,50.0,0,7,8,9,16,110,812,323,2489,611,1050,762,909,3510
1995,1,6.3,1958.0,118.0,4,7,61,71,16,110,160,2952,2694,611,1251,762,1405,1063
2000,7,8.0,184.0,97.0,6,14,62,71,16,95,671,773,3923,611,2512,762,4765,3786
2005,7,2.2,75.0,44.0,0,13,62,71,16,110,153,4715,2296,611,2512,762,2811,3786
1969,1,7.6,8868.0,60.0,4,7,61,71,16,58,2891,4680,3389,611,2138,762,3373,1553
1979,1,7.6,450.0,93.0,6,14,62,71,16,60,1870,1222,2763,611,2512,762,4765,3786
2003,4,6.1,76.0,93.0,2,0,37,71,33,110,4886,914,3923,611,2512,762,2569,1950
1998,1,6.3,559.0,96.82821118991332,7,8,10,71,16,110,3203,3255,2598,611,832,762,4928,1229
1988,1,5.2,8667.0,96.0,4,12,4,71,16,110,4851,4152,4056,611,1624,742,4948,744
2003,3,5.1,283.0,83.0,5,7,10,67,16,110,952,1919,565,611,1712,762,568,1716
1999,4,7.5,2029.0,57.0,19,2,62,9,16,110,3398,509,3923,611,2512,762,3940,2935
2005,7,5.5,86.0,182.0,6,27,62,71,16,110,4663,5611,2595,611,460,762,4765,3786
1995,1,7.5,9557.0,97.0,4,7,30,71,26,110,4705,5,3130,611,1,762,1643,3136
1996,0,8.1,190.0,90.0,5,7,61,71,16,110,1161,3813,3213,611,447,762,742,907
1999,1,6.9,1777.0,105.0,4,27,10,71,16,110,2783,5258,125,611,825,396,4746,3786
1963,1,8.4,39523.0,40.0,5,7,37,71,33,110,4654,5262,43,611,1640,762,1743,3094
2002,1,4.5,1149.0,98.0,0,4,23,57,20,110,3478,39,2046,611,1396,762,4492,1886
2003,7,8.8,30.0,97.12636815920398,6,14,62,71,16,110,3996,2702,2520,324,2461,762,4765,3786
1997,4,6.5,37.0,92.0,2,4,37,71,33,110,1546,163,3923,611,2512,762,4220,3147
1983,1,6.7,4735.0,6.0,0,4,27,71,7,110,4101,2677,3443,611,384,190,4187,242
1959,4,9.0,75773.0,14.0,7,9,62,71,62,110,3969,4663,3923,611,2512,762,4046,3015
1974,3,7.9,2000.0,115.0,7,12,62,71,16,110,860,1578,1896,611,781,762,4743,993
1996,1,6.8,941.0,98.0,2,7,37,71,33,110,1790,3088,2884,611,680,762,3524,3572
